ID,walk,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s
188,14,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,1,5,5,5
245,14,4,4,4,5,5,5,5,5,5,5,5,5,2,3,4,1,5,4,4
521,14,1,1,1,1,1,1,1,5,5,5,5,1,3,3,3,2,4,4,4
195,14,2,5,5,5,5,5,5,5,5,5,5,1,1,1,5,2,5,5,5
21,14,3,2,2,2,3,3,4,5,5,5,5,5,1,4,4,3,4,4,5
374,14,2,2,1,1,2,2,2,5,5,5,5,2,2,4,4,1,2,2,2
588,14,5,4,5,5,4,5,4,5,5,5,5,5,5,4,4,3,4,4,3
172,14,3,3,4,4,5,5,5,5,5,5,5,5,5,5,3,3,5,1,1
484,14,2,2,4,4,5,5,5,5,5,4,3,4,5,5,5,2,5,1,1
160,14,4,1,4,4,4,4,4,5,5,5,5,4,3,2,4,2,4,4,4
174,14,2,2,2,2,5,5,5,5,5,5,5,5,4,4,4,3,5,4,4
82,14,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4
677,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2
501,14,3,4,4,4,5,5,4,2,3,4,4,2,4,4,5,2,2,1,1
28,14,4,4,3,3,4,4,4,5,5,4,5,4,4,4,4,3,4,4,4
80,14,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
119,14,5,5,4,5,3,4,5,5,5,5,5,4,4,3,4,3,5,1,1
614,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
296,14,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5
255,15,3,4,3,3,4,3,4,5,5,4,5,3,4,4,5,5,4,5,4
637,15,2,1,2,2,3,5,4,5,5,1,2,5,2,4,5,5,5,2,2
4,16,2,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,5,2,2
129,16,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,5,3,3
300,17,4,2,3,3,5,5,5,5,5,3,5,3,5,3,5,1,5,3,3
629,17.5,2,4,3,4,4,4,4,5,5,5,5,4,4,4,5,3,5,5,5
59,17.5,2,4,5,5,5,5,5,5,5,5,5,5,2,4,5,2,5,5,5
304,21,3,3,3,3,5,5,5,5,4,4,3,4,4,3,4,2,3,3,3
239,21,2,2,2,2,4,5,5,5,5,5,5,5,5,4,5,3,2,2,2
236,21,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,5,3,3
190,21,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,3,3
590,21,2,2,2,2,3,3,4,4,5,5,5,4,4,3,3,3,4,4,4
299,21,3,3,3,3,3,4,4,5,5,5,5,5,5,4,3,1,5,3,3
483,25,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
370,28,4,5,3,5,2,2,2,5,5,4,4,5,5,2,5,2,5,2,2
413,28,3,4,4,4,5,4,5,5,5,5,5,5,4,3,4,1,4,3,4
387,30,3,2,4,4,5,5,5,5,5,5,5,5,4,4,2,2,2,2,2
66,30,5,4,4,4,4,4,4,5,5,5,5,4,2,4,2,4,4,3,3
183,30,4,4,3,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,4
389,35,3,4,3,4,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5
6,35,2,3,3,2,5,5,5,5,5,5,5,2,3,3,5,5,4,4,4
607,35,4,3,4,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5
